100,JIMENEZ,227118,0.0384,0.0029,0.0149,0.002,0.0021,0.9397
101,POWELL,224874,0.672,0.2712,0.0046,0.0062,0.0229,0.0231
102,JENKINS,222653,0.5776,0.3678,0.0039,0.0057,0.0242,0.0207
103,PERRY,221741,0.6832,0.252,0.0057,0.0081,0.0243,0.0267
104,RUSSELL,221558,0.7705,0.1669,0.0057,0.0105,0.0218,0.0246
105,SULLIVAN,220990,0.8773,0.0713,0.006,0.0057,0.0159,0.0239
106,BELL,220599,0.6111,0.3235,0.0055,0.0101,0.0251,0.0246
107,COLEMAN,219070,0.4943,0.446,0.004,0.0053,0.0279,0.0225
108,BUTLER,218847,0.6236,0.3154,0.0045,0.0084,0.0245,0.0235
109,HENDERSON,218393,0.5963,0.3398,0.0045,0.0086,0.0256,0.0251
110,BARNES,218241,0.6481,0.2928,0.0048,0.0075,0.0235,0.0233
111,GONZALES,214758,0.0983,0.0099,0.038,0.0076,0.0056,0.8406
112,FISHER,214703,0.8258,0.1179,0.0055,0.0076,0.0189,0.0243
113,VASQUEZ,212781,0.0506,0.0051,0.0073,0.0029,0.0024,0.9317
114,SIMMONS,210182,0.5791,0.3615,0.0047,0.0067,0.0252,0.0229
115,ROMERO,208614,0.0865,0.005,0.013,0.0069,0.0037,0.885
116,JORDAN,208403,0.6144,0.3073,0.0055,0.0072,0.0245,0.0411
117,PATTERSON,205423,0.6727,0.268,0.0047,0.0068,0.0235,0.0243
118,ALEXANDER,204621,0.5819,0.3404,0.0124,0.007,0.0266,0.0317
119,HAMILTON,201746,0.7021,0.2371,0.0054,0.008,0.0229,0.0245
120,GRAHAM,201159,0.7002,0.2399,0.0051,0.008,0.0213,0.0255
121,REYNOLDS,200247,0.8108,0.1321,0.0052,0.0071,0.0202,0.0245
122,GRIFFIN,198406,0.6377,0.3081,0.0044,0.0047,0.0228,0.0221
123,WALLACE,197276,0.6924,0.247,0.0051,0.0077,0.0231,0.0247
124,MORENO,196925,0.0609,0.0043,0.0067,0.0037,0.0022,0.9223
125,WEST,195818,0.7548,0.1848,0.0049,0.0083,0.0227,0.0245
126,COLE,195289,0.7533,0.1889,0.0055,0.0072,0.021,0.0241
127,HAYES,194246,0.6938,0.2469,0.0049,0.0081,0.0234,0.0229
128,BRYANT,192773,0.5846,0.3558,0.0039,0.0089,0.0247,0.0221
129,HERRERA,192711,0.0492,0.0036,0.0096,0.0051,0.0022,0.9303
130,GIBSON,190667,0.7214,0.2178,0.0046,0.0097,0.0234,0.0231
131,ELLIS,188968,0.7036,0.2347,0.0054,0.0066,0.0224,0.0273
132,TRAN,188498,0.0135,0.001,0.96,0.0003,0.017,0.0081
133,MEDINA,188497,0.0569,0.006,0.0192,0.003,0.0033,0.9116
134,AGUILAR,186512,0.0403,0.0026,0.0164,0.0052,0.0023,0.9332
135,STEVENS,185674,0.8144,0.1182,0.0064,0.0133,0.0204,0.0274
136,MURRAY,184910,0.7492,0.1929,0.0057,0.006,0.0202,0.026
137,FORD,184832,0.6205,0.32,0.0045,0.0061,0.0252,0.0237
138,CASTRO,184134,0.0729,0.0066,0.0374,0.0024,0.0064,0.8742
139,MARSHALL,183922,0.6603,0.2751,0.0058,0.0096,0.0234,0.0258
140,OWENS,182719,0.6585,0.2841,0.0036,0.0075,0.0247,0.0217
141,HARRISON,181091,0.6866,0.2445,0.0052,0.0139,0.0227,0.027
142,FERNANDEZ,180842,0.0877,0.0115,0.0538,0.0018,0.0093,0.8358
143,MCDONALD,180497,0.7665,0.1728,0.0055,0.0078,0.0201,0.0273
144,WOODS,177425,0.583,0.353,0.0042,0.0088,0.0274,0.0235
145,WASHINGTON,177386,0.0517,0.8753,0.003,0.0068,0.0378,0.0254
146,KENNEDY,176865,0.8082,0.1363,0.0062,0.0061,0.0187,0.0245
147,WELLS,176230,0.74,0.2,0.0049,0.0087,0.0222,0.0241
148,VARGAS,173835,0.0541,0.0042,0.0085,0.0018,0.0022,0.9292
149,HENRY,170964,0.6143,0.3068,0.0084,0.0187,0.0234,0.0284
150,CHEN,169580,0.014,0.003,0.9612,0.0002,0.0164,0.0052
151,FREEMAN,169149,0.655,0.2834,0.0052,0.0095,0.0238,0.023
152,WEBB,168878,0.7553,0.1908,0.0046,0.0066,0.0199,0.0229
153,TUCKER,167446,0.7001,0.2417,0.0045,0.0078,0.0225,0.0235
154,GUZMAN,167044,0.0411,0.0042,0.0129,0.0015,0.0027,0.9377
155,BURNS,165925,0.8026,0.1406,0.0059,0.0078,0.0183,0.0248
156,CRAWFORD,164457,0.6856,0.2565,0.0049,0.0075,0.023,0.0224
157,OLSON,164035,0.9476,0.004,0.0066,0.0072,0.0143,0.0203
158,SIMPSON,163181,0.7078,0.2309,0.0053,0.0078,0.023,0.0253
159,PORTER,163054,0.6857,0.254,0.0055,0.0072,0.0231,0.0245
160,HUNTER,162440,0.6078,0.3269,0.0048,0.0102,0.0263,0.0241
161,GORDON,161833,0.6425,0.2915,0.0062,0.0068,0.0226,0.0304
162,MENDEZ,161717,0.0448,0.0078,0.0048,0.0024,0.0018,0.9383
163,SILVA,161633,0.3261,0.0203,0.0201,0.0039,0.0162,0.6134
164,SHAW,160400,0.7207,0.2119,0.0148,0.0075,0.0215,0.0236
165,SNYDER,160262,0.9407,0.0146,0.0059,0.0052,0.0145,0.0192
166,MASON,160213,0.6882,0.251,0.0053,0.0076,0.0238,0.0241
167,DIXON,159480,0.5425,0.3926,0.0043,0.0096,0.0261,0.0249
168,MUNOZ,158483,0.0489,0.003,0.0091,0.0021,0.0021,0.9348
169,HUNT,158421,0.7357,0.1693,0.0061,0.0423,0.0235,0.0231
170,HICKS,158320,0.6737,0.2688,0.0042,0.0098,0.0223,0.0213
171,HOLMES,156780,0.5679,0.3728,0.0042,0.0076,0.0237,0.0238
172,PALMER,156601,0.7508,0.1857,0.0055,0.0081,0.0211,0.0287
